Ticker,date,month,open,high,low,close,volume
BHARTIARTL,2023-10-09 05:30:00,2023-10,918.0,928.05,916.55,924.55,2248103
TATAMOTORS,2023-10-09 05:30:00,2023-10,620.8,622.0,613.7,617.35,6381189
WIPRO,2023-10-09 05:30:00,2023-10,404.2,411.0,403.4,405.6,3015225
TECHM,2023-10-09 05:30:00,2023-10,1203.25,1227.75,1202.15,1212.65,1451064
NTPC,2023-10-09 05:30:00,2023-10,233.85,236.3,230.5,234.7,10659145
HINDUNILVR,2023-10-09 05:30:00,2023-10,2485.0,2516.5,2481.0,2511.3,1468771
APOLLOHOSP,2023-10-09 05:30:00,2023-10,5000.0,5066.0,4987.05,5047.3,176296
M&M,2023-10-09 05:30:00,2023-10,1540.0,1541.25,1514.0,1515.2,2123175
GRASIM,2023-10-09 05:30:00,2023-10,1882.57,1889.39,1867.67,1881.52,344554
ICICIBANK,2023-10-09 05:30:00,2023-10,940.25,942.05,936.3,938.6,6725306
ADANIENT,2023-10-09 05:30:00,2023-10,2440.0,2459.7,2411.3,2442.6,1408224
ADANIPORTS,2023-10-09 05:30:00,2023-10,815.0,818.8,785.0,790.05,5994282
BEL,2023-10-09 05:30:00,2023-10,136.2,137.6,135.05,135.75,10489249
BAJAJFINSV,2023-10-09 05:30:00,2023-10,1617.15,1628.0,1606.6,1621.55,1712235
EICHERMOT,2023-10-09 05:30:00,2023-10,3420.2,3476.0,3401.0,3445.6,471285
COALINDIA,2023-10-09 05:30:00,2023-10,286.05,288.95,283.05,287.8,4647845
MARUTI,2023-10-09 05:30:00,2023-10,10250.0,10334.4,10184.0,10244.8,230083
INDUSINDBK,2023-10-09 05:30:00,2023-10,1420.1,1445.0,1410.0,1428.55,1613546
ASIANPAINT,2023-10-09 05:30:00,2023-10,3140.05,3163.0,3132.7,3152.8,700012
TATASTEEL,2023-10-09 05:30:00,2023-10,124.8,124.9,122.6,123.85,21457836
HDFCLIFE,2023-10-09 05:30:00,2023-10,625.0,629.55,613.35,615.15,3308557
DRREDDY,2023-10-09 05:30:00,2023-10,1082.01,1105.47,1080.03,1098.97,2368110
SUNPHARMA,2023-10-09 05:30:00,2023-10,1111.0,1133.8,1109.0,1123.05,1080276
KOTAKBANK,2023-10-09 05:30:00,2023-10,1730.0,1733.8,1717.05,1719.3,1839513
SHRIRAMFIN,2023-10-09 05:30:00,2023-10,1840.05,1840.85,1803.65,1820.9,1070824
NESTLEIND,2023-10-09 05:30:00,2023-10,2281.21,2298.08,2280.0,2288.19,237550
ONGC,2023-10-09 05:30:00,2023-10,182.9,184.7,181.25,181.7,14622727
CIPLA,2023-10-09 05:30:00,2023-10,1159.0,1166.85,1151.65,1159.5,822110
BPCL,2023-10-09 05:30:00,2023-10,170.5,170.83,168.08,170.0,8740080
BRITANNIA,2023-10-09 05:30:00,2023-10,4511.0,4535.0,4493.5,4522.5,255764
SBILIFE,2023-10-09 05:30:00,2023-10,1278.1,1290.75,1272.0,1277.25,1345177
HINDALCO,2023-10-09 05:30:00,2023-10,472.45,473.5,464.6,469.8,2681298
HEROMOTOCO,2023-10-09 05:30:00,2023-10,3021.1,3049.95,2923.95,2955.1,976306
AXISBANK,2023-10-09 05:30:00,2023-10,994.8,999.7,988.25,996.25,6823214
HDFCBANK,2023-10-09 05:30:00,2023-10,1528.0,1530.0,1512.0,1516.25,8227486
BAJAJ-AUTO,2023-10-09 05:30:00,2023-10,4957.05,5068.7,4957.05,5007.3,244083
SBIN,2023-10-10 05:30:00,2023-10,587.0,595.0,585.75,591.65,10373508
BAJFINANCE,2023-10-10 05:30:00,2023-10,8055.0,8135.0,8021.0,8083.6,965024
TITAN,2023-10-10 05:30:00,2023-10,3295.0,3299.2,3259.3,3269.2,633934
ITC,2023-10-10 05:30:00,2023-10,440.45,444.85,440.45,444.4,5014758
TCS,2023-10-10 05:30:00,2023-10,3640.05,3648.0,3601.35,3628.9,1848148
LT,2023-10-10 05:30:00,2023-10,3073.85,3099.0,3072.15,3076.0,1551789
TATACONSUM,2023-10-10 05:30:00,2023-10,874.13,881.44,870.92,877.84,859825
RELIANCE,2023-10-10 05:30:00,2023-10,1153.28,1158.95,1151.88,1154.2,10236032
HCLTECH,2023-10-10 05:30:00,2023-10,1255.55,1264.75,1248.2,1261.8,1532394
JSWSTEEL,2023-10-10 05:30:00,2023-10,759.65,774.2,757.3,771.9,1351582
ULTRACEMCO,2023-10-10 05:30:00,2023-10,8147.8,8186.35,8105.0,8158.3,187020
